user_email,creation_date,product_code,quantity,price_when_added
jxhycmc@yahoo.com,2016-07-14 23:45:55,PROD-58739,3,4025.3
jxhycmc@yahoo.com,2016-07-14 23:45:55,PROD-64871,1,3378.09
jxhycmc@yahoo.com,2024-05-26 02:01:40,PROD-78410,5,2941.53
jxhycmc@yahoo.com,2024-05-26 02:01:40,PROD-18683,3,1005.6
jxhycmc@yahoo.com,2024-05-26 02:01:40,PROD-20794,3,2675.91
htnewjt@mail.com,2024-06-07 04:08:32,PROD-44062,4,4604.87
htnewjt@mail.com,2024-06-07 04:08:32,PROD-59005,1,1299.05
tkmfalg@yahoo.com,2025-01-31 06:04:55,PROD-64871,5,4165.55
tkmfalg@yahoo.com,2025-01-31 06:04:55,PROD-40140,5,2907.02
tkmfalg@yahoo.com,2025-01-31 06:04:55,PROD-57273,1,4815.85
tkmfalg@yahoo.com,2025-01-31 06:04:55,PROD-51040,4,2763.44
alklvbr@yahoo.com,2018-08-17 01:42:57,PROD-79529,3,2802.7
alklvbr@yahoo.com,2018-08-17 01:42:57,PROD-50821,4,2280.59
alklvbr@yahoo.com,2018-08-17 01:42:57,PROD-31514,1,522.53
alklvbr@yahoo.com,2018-08-20 11:01:55,PROD-64871,3,1969.01
oneazpw@outlook.com,2021-07-03 11:55:55,PROD-35924,1,4485.13
oneazpw@outlook.com,2021-07-03 11:55:55,PROD-48112,5,4346.56
qvsyyza@outlook.com,2023-10-24 23:40:07,PROD-20794,5,2787.4
qvsyyza@outlook.com,2023-10-24 23:40:07,PROD-91919,5,2986.94
qvsyyza@outlook.com,2023-10-24 23:40:07,PROD-61953,4,1007.09
qvsyyza@outlook.com,2023-10-24 23:40:07,PROD-49606,5,3133.5
bjqwoji@yahoo.com,2012-01-14 05:42:56,PROD-32131,5,3934.04
bjqwoji@yahoo.com,2012-01-14 05:42:56,PROD-38602,3,2469.37
bjqwoji@yahoo.com,2020-03-18 20:59:02,PROD-76520,4,1019.54
bjqwoji@yahoo.com,2020-03-18 20:59:02,PROD-35995,4,3205.93
bjqwoji@yahoo.com,2020-03-18 20:59:02,PROD-64871,4,551.76
bjqwoji@yahoo.com,2020-03-18 20:59:02,PROD-59005,4,394.07
csrjoxi@gmail.com,2025-08-22 01:21:13,PROD-38602,4,3190.9
csrjoxi@gmail.com,2025-08-22 01:21:13,PROD-96528,5,4906.44
csrjoxi@gmail.com,2025-08-22 01:21:13,PROD-48112,1,2170.56
csrjoxi@gmail.com,2025-08-22 01:21:13,PROD-18683,2,991.29
csrjoxi@gmail.com,2016-07-04 00:17:16,PROD-99537,1,4723.19
csrjoxi@gmail.com,2016-07-04 00:17:16,PROD-98837,3,478.38
csrjoxi@gmail.com,2016-07-04 00:17:16,PROD-50821,4,1275.1
csrjoxi@gmail.com,2016-07-04 00:17:16,PROD-83817,1,4422.38
zzrxvou@mail.com,2018-09-30 05:06:52,PROD-58739,4,2902.93
zzrxvou@mail.com,2014-04-27 12:29:16,PROD-35995,4,1209.64
zzrxvou@mail.com,2014-04-27 12:29:16,PROD-79907,2,707.65
zzrxvou@mail.com,2014-04-27 12:29:16,PROD-90556,5,3676.33
zzrxvou@mail.com,2014-04-27 12:29:16,PROD-39378,1,2331.24
dpilxmt@yahoo.com,2020-08-17 08:05:46,PROD-90556,3,3859.04
dpilxmt@yahoo.com,2020-08-17 08:05:46,PROD-96528,1,172.03
gysgmyb@outlook.com,2015-10-11 10:39:26,PROD-20343,1,1342.46
gysgmyb@outlook.com,2023-09-15 22:51:58,PROD-27659,4,1578.09
gysgmyb@outlook.com,2023-09-15 22:51:58,PROD-69385,5,4254.91
gysgmyb@outlook.com,2023-09-15 22:51:58,PROD-65059,5,3155.11
gysgmyb@outlook.com,2023-09-15 22:51:58,PROD-20343,1,3926.56
svxqmhp@yahoo.com,2017-08-18 06:01:07,PROD-39378,2,4559.75
svxqmhp@yahoo.com,2017-08-18 06:01:07,PROD-98866,5,320.76
svxqmhp@yahoo.com,2017-08-18 06:01:07,PROD-58739,4,1427.91
svxqmhp@yahoo.com,2017-08-18 06:01:07,PROD-43688,5,2811.16
uomhclh@gmail.com,2025-03-23 00:45:02,PROD-98837,3,4019.26
uomhclh@gmail.com,2025-03-23 00:45:02,PROD-91919,4,948.38
uomhclh@gmail.com,2017-01-25 09:52:54,PROD-20343,2,2010.54
ijeceqb@outlook.com,2021-11-18 13:24:22,PROD-98866,4,1935.31
ijeceqb@outlook.com,2021-11-18 13:24:22,PROD-83817,4,1993.46
ijeceqb@outlook.com,2017-08-28 17:57:08,PROD-59005,2,1125.51
wejwqxg@mail.com,2025-02-19 03:02:50,PROD-31514,2,3990.57
wejwqxg@mail.com,2012-03-31 19:36:09,PROD-35924,4,4913.24
uxjqpfi@mail.com,2024-04-03 18:08:48,PROD-83817,4,1930.63
ftonyml@outlook.com,2015-01-28 15:52:06,PROD-79529,5,1240.52
ftonyml@outlook.com,2015-01-28 15:52:06,PROD-27659,5,682.29
ftonyml@outlook.com,2015-01-28 15:52:06,PROD-40140,4,260.68
ftonyml@outlook.com,2015-01-28 15:52:06,PROD-27615,2,3874.02
ftonyml@outlook.com,2020-09-03 02:18:07,PROD-83817,1,4228.28
ftonyml@outlook.com,2020-09-03 02:18:07,PROD-79529,5,766.01
troeeji@yahoo.com,2019-04-05 04:18:40,PROD-49606,4,4621.0
troeeji@yahoo.com,2019-04-05 04:18:40,PROD-38602,4,2487.27
wklakxz@yahoo.com,2022-08-03 17:49:06,PROD-20794,4,1183.93
wklakxz@yahoo.com,2022-08-03 17:49:06,PROD-69385,4,2617.63
wklakxz@yahoo.com,2022-08-03 17:49:06,PROD-84106,5,2227.96
tfypxlr@mail.com,2016-01-28 03:20:28,PROD-78410,1,303.43
tfypxlr@mail.com,2016-01-28 03:20:28,PROD-40140,4,2123.61
tfypxlr@mail.com,2016-01-28 03:20:28,PROD-64871,3,4362.94
tfypxlr@mail.com,2016-01-28 03:20:28,PROD-50821,3,2740.83
ogbtxor@outlook.com,2022-10-27 11:15:36,PROD-26891,5,4179.56
lnbpewu@outlook.com,2023-01-16 20:26:51,PROD-27615,2,3601.67
lnbpewu@outlook.com,2023-01-16 20:26:51,PROD-96528,2,965.77
lnbpewu@outlook.com,2023-01-16 20:26:51,PROD-49606,1,1907.82
lnbpewu@outlook.com,2023-01-16 20:26:51,PROD-65059,4,308.26
lnbpewu@outlook.com,2020-09-14 06:28:15,PROD-43688,5,3580.9
lnbpewu@outlook.com,2020-09-14 06:28:15,PROD-98866,2,4726.93
vabjuxb@gmail.com,2025-02-09 20:56:28,PROD-98866,2,2967.54
vabjuxb@gmail.com,2025-02-09 20:56:28,PROD-17542,3,2870.0
vabjuxb@gmail.com,2025-02-09 20:56:28,PROD-31514,3,4596.23
vabjuxb@gmail.com,2025-02-09 20:56:28,PROD-40140,2,2446.89
vabjuxb@gmail.com,2021-01-25 19:25:10,PROD-84106,1,3262.11
wwqsoqm@yahoo.com,2016-06-23 21:53:58,PROD-88484,5,4612.43
wwqsoqm@yahoo.com,2016-06-23 21:53:58,PROD-39378,5,4776.07
wwqsoqm@yahoo.com,2023-01-04 02:25:44,PROD-49239,3,4039.92
wwqsoqm@yahoo.com,2023-01-04 02:25:44,PROD-26822,4,150.13
wwqsoqm@yahoo.com,2023-01-04 02:25:44,PROD-65059,5,3899.29
