email,product_code,liked_date,stars
lsbfmtp@gmail.com,PROD-81050,2015-07-19 19:09:48,3
lsbfmtp@gmail.com,PROD-48225,2013-10-20 03:58:40,3
lsbfmtp@gmail.com,PROD-75510,2020-10-27 20:34:45,4
lsbfmtp@gmail.com,PROD-86150,2025-02-22 01:40:08,4
phlpkji@mail.com,PROD-83868,2016-07-11 16:17:10,4
vcxgdgf@outlook.com,PROD-20834,2013-11-16 21:03:14,5
lxogysg@outlook.com,PROD-51896,2021-08-02 07:30:31,4
lxogysg@outlook.com,PROD-50708,2014-04-21 03:37:20,4
gearbut@mail.com,PROD-83868,2013-11-08 22:20:08,2
gearbut@mail.com,PROD-70945,2015-01-17 07:52:51,1
ztvsngx@mail.com,PROD-59001,2013-09-29 00:42:13,3
ztvsngx@mail.com,PROD-51403,2023-05-10 18:52:47,1
ztvsngx@mail.com,PROD-79606,2020-03-31 14:03:15,1
ztvsngx@mail.com,PROD-97885,2013-04-01 23:24:16,2
ztvsngx@mail.com,PROD-29858,2018-07-13 03:09:15,2
mzwetgm@gmail.com,PROD-97645,2014-10-04 07:51:07,5
mzwetgm@gmail.com,PROD-58224,2012-07-20 10:50:27,5
mzwetgm@gmail.com,PROD-16878,2023-05-25 07:08:07,4
mzwetgm@gmail.com,PROD-64210,2020-12-18 18:05:04,4
mzwetgm@gmail.com,PROD-20866,2018-04-21 22:27:38,2
yccxwli@mail.com,PROD-27294,2020-04-02 18:57:52,3
yccxwli@mail.com,PROD-12136,2023-04-23 07:52:34,5
wasegbj@outlook.com,PROD-28842,2017-10-26 02:28:04,5
wasegbj@outlook.com,PROD-32701,2018-06-12 01:50:21,4
wasegbj@outlook.com,PROD-25342,2012-12-19 07:02:16,1
wasegbj@outlook.com,PROD-77941,2019-10-26 23:41:55,2
wasegbj@outlook.com,PROD-36394,2025-11-06 20:56:56,1
apzmtrw@mail.com,PROD-16575,2023-08-28 12:32:24,1
apzmtrw@mail.com,PROD-52280,2022-11-12 07:14:43,1
ymgxzsh@yahoo.com,PROD-24837,2013-12-11 17:57:23,2
ymgxzsh@yahoo.com,PROD-63237,2021-12-19 10:45:05,3
