order_number,user_email,order_date,order_status,employee_email,payment_method,delivery_method,address,city,country,shipper_name
ORD-69729,wasegbj@outlook.com,2018-04-30 17:45:38,delivered,quinn.miles@biomedix.com,Cash,Standard Shipping,4710 Cypress Grove Rd,New York,USA,VitalShip Logistics
ORD-33574,kzbqsnx@gmail.com,2025-07-26 16:12:54,shipped,hunter.kelley@biomedix.com,PayPal,Express Delivery,8778 Cypress Ave,Osaka,Japan,HealthExpress Couriers
ORD-69487,iqhvjfs@mail.com,2018-06-30 01:20:48,canceled,matthew.reynolds@biomedix.com,Cash,In-store Pickup,1666 Cedar Meadow Rd,Munich,Germany,PharmaShip Solutions
ORD-11295,dgbtotm@mail.com,2021-09-12 18:37:05,shipped,robert.wilson@biomedix.com,Cash,Express Delivery,7814 Willow Grove Ave,Amsterdam,Netherlands,HealthLink Couriers
ORD-42054,pihpaml@yahoo.com,2024-10-08 00:54:59,canceled,natalie.arnold@biomedix.com,PayPal,In-store Pickup,1304 Orchid Ave,Toronto,Canada,GLS
ORD-46410,willzwq@gmail.com,2016-02-23 01:57:43,shipped,aubrey.rice@biomedix.com,Credit Card,Express Delivery,1632 Linden Ave,Madrid,Spain,PharmaCare Transport
ORD-11729,hfvyacn@gmail.com,2024-05-27 13:40:28,canceled,hannah.snyder@biomedix.com,Cash,Express Delivery,9991 Golden Ave,Montreal,Canada,PharmaExpress Delivery
ORD-64614,fyljcpu@mail.com,2019-07-30 00:10:31,pending,elena.duncan@biomedix.com,Cash,In-store Pickup,8587 Pine Terrace Ave,Tokyo,Japan,BioTrans Logistics
ORD-89627,ljyxchw@mail.com,2023-01-19 21:37:03,shipped,alex.flores@biomedix.com,Bank Transfer,Standard Shipping,8401 Rowan Ave,Tokyo,Japan,HealthCare Transport
ORD-62891,yojjetr@gmail.com,2023-10-11 00:11:12,pending,grace.hoffman@biomedix.com,Bank Transfer,In-store Pickup,2552 Maple Ridge Ave,Toronto,Canada,PharmaExpress Delivery
ORD-59545,iibgacr@yahoo.com,2022-05-30 19:00:45,delivered,alice.baker@biomedix.com,Cash,In-store Pickup,3023 Birchwood Ave,Paris,France,PharmaExpress Delivery
ORD-84909,pnfiozq@gmail.com,2016-02-24 07:08:01,pending,colton.duncan@biomedix.com,Cash,In-store Pickup,1927 Center Ave,Phoenix,USA,BioFleet Express
ORD-89089,pztmwvt@outlook.com,2013-12-27 11:45:07,delivered,aurora.warner@biomedix.com,Bank Transfer,Express Delivery,477 Maple Ridge Terrace Ave,Naples,Italy,VitalExpress Couriers
ORD-93117,uzgyyxb@mail.com,2019-04-14 23:31:32,canceled,violet.campos@biomedix.com,Bank Transfer,Express Delivery,7212 Aspen Grove Rd,Phoenix,USA,PharmaFleet Express
ORD-98298,xunktjl@outlook.com,2016-07-23 20:02:34,shipped,colton.duncan@biomedix.com,Bank Transfer,Express Delivery,5292 Sunset Blvd,Munich,Germany,HealthWay Couriers
