email,first_name,last_name,username,password,role,phone,status,birthdate,is_verified,profile_picture_url
lsbfmtp@gmail.com,Samantha,Howard,samhow999,$2b$12$JXOaT0gu3IZP8kExhT0FCb,customer,+39 (298) 375-6123,True,1957-06-01,False,https://cdn.biomedix.com/samhow999.png
phlpkji@mail.com,Autumn,Daniels,autdan948,$2b$12$RKxr6e8DF9dyckXj6zS9Qa,admin,+39 (906) 949-3278,False,1981-06-18,False,https://cdn.biomedix.com/autdan948.png
vcxgdgf@outlook.com,Connor,Mcdonald,conmcd621,$2b$12$MDzKtmPhBLNi1cxD9ajweP,customer,+49 (553) 659-3021,True,1955-08-29,True,https://cdn.biomedix.com/conmcd621.png
lxogysg@outlook.com,Alex,Diaz,aledia905,$2b$12$3MTFKwNEsN7LOthIYwMr6V,admin,+33 (974) 666-7791,True,2002-07-13,False,https://cdn.biomedix.com/aledia905.png
gearbut@mail.com,Victoria,Martin,vicmar334,$2b$12$O1Eb5dP4hdn1OW6SooiptR,customer,+1 (612) 280-3515,True,1956-06-06,False,https://cdn.biomedix.com/vicmar334.png
ztvsngx@mail.com,Evan,Tran,evatra368,$2b$12$WRAvaB5Agu7ySPUtlWLRqI,admin,+33 (124) 347-2265,True,1974-05-01,True,https://cdn.biomedix.com/evatra368.png
mzwetgm@gmail.com,Isaiah,Gonzales,isagon246,$2b$12$qJunghpSJVJAxFJe3TqZqP,customer,+33 (417) 540-5005,False,1959-07-29,True,https://cdn.biomedix.com/isagon246.png
yccxwli@mail.com,Ryan,Ortiz,ryaort404,$2b$12$lSjS0OLd0zwdCX7LtSyhcF,admin,+49 (136) 285-8242,False,1977-06-28,True,https://cdn.biomedix.com/ryaort404.png
wasegbj@outlook.com,Hailey,Peterson,haipet205,$2b$12$OhUCypBlCtt6eVjWSBOWmu,customer,+81 (570) 557-7904,False,1995-10-24,True,https://cdn.biomedix.com/haipet205.png
apzmtrw@mail.com,Abigail,Cole,abicol718,$2b$12$rBAOrsS9EJP7fgp3tMGf2k,customer,+33 (773) 192-7477,True,1998-11-07,True,https://cdn.biomedix.com/abicol718.png
